2022/06/23 21:34:11 [error] 23576#17224: *4247 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/01/dsc20050315_145007_132-300x225.jpg HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:11 [error] 23576#17224: *4249 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/01/canola2-300x225.jpg HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:11 [error] 23576#17224: *4249 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/01/canola2-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4252 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/async-upload.php HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4253 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2022/06/Eddy-Need-Remix-mp3-image-300x297.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4254 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/static-pages-300x221.png HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4255 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/the-dark-knight-rises-199x300.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4256 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/spider-man-202x300.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4257 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/captain-america-198x300.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4258 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/man-of-steel-202x300.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4259 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/ironman-2-203x300.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4260 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/fight-club-204x300.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4261 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/featured-image-vertical-155x300.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4262 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/featured-image-horizontal-300x155.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4263 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2012/12/unicorn-wallpaper-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4264 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2012/12/triforce-wallpaper-300x188.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4265 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/image-alignment-1200x4002-1-300x100.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4266 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/image-alignment-580x300-1-300x155.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4267 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/image-alignment-150x150-1-150x150.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4268 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/image-alignment-300x200-1-150x150.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4269 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/soworthloving-wallpaper-300x188.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4270 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2012/07/manhattansummer-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4271 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2012/06/dsc20040724_152504_532-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4272 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2012/06/dsc20050604_133440_34211-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4273 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/img_0767-300x200.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4274 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/img_8399-300x200.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4275 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/img_0747-300x200.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4276 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/img_0513-1-300x200.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4277 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/windmill-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4278 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/michelle_049-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4279 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dscn3316-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4280 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dsc20051220_173257_119-300x200.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4281 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dsc02085-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4282 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dsc20051220_160808_102-300x200.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4283 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dsc20050102_192118_51-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:12 [error] 23576#17224: *4284 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dsc09114-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
